,age,current_language,first_language,gender,script,affect,phone_position,file_name,chunk_name,phone_model
0,25-39,English,English,Woman,another dog secretary show,sadness,Place phone on the opposite side of the room in a bag 15/19,/media/data/shout-data/shout_data_3afd7208-7987-4c73-8e01-58a30863990b.wav,/final/chunk42.wav,iPhone 12
1,40-60,English,Italian,Man,five special guest treasures,neutral,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_ae6feb35-cf7a-4805-8d05-0308c5690010.wav,/final/chunk20.wav,iPhone 6
2,18-24,English,English,Woman,wolf ring lights are fantastic,neutral,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_fdb758a5-9c86-40f7-8870-ca388b3b0ec0.wav,/final/chunk20.wav,Iphone
3,18-24,English,English,Woman,wolf ring lights are fantastic,neutral,Place phone on the opposite side of the room face down on a hard surface 13/19,/media/data/shout-data/shout_data_fdb758a5-9c86-40f7-8870-ca388b3b0ec0.wav,/final/chunk30.wav,Iphone
4,25-39,English,English,Woman,birds make new jingles,disgust,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,/final/chunk11.wav,Samsung Galaxy s8+
5,25-39,English,English,Woman,birds make new jingles,disgust,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,/final/chunk13.wav,Samsung Galaxy s8+
6,25-39,English,English,Woman,birds make new jingles,disgust,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_739dbf1c-ec21-42db-9e49-3aab58529973.wav,/final/chunk15.wav,Samsung Galaxy s8+
7,40-60,English,English,Man,ripped ocean jumper,disgust,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,/final/chunk00.wav,Samsung
8,40-60,English,English,Man,ripped ocean jumper,disgust,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,/final/chunk10.wav,Samsung
9,40-60,English,English,Man,ripped ocean jumper,disgust,Place your phone in a bag and hold it next to your hip 7/19,/media/data/shout-data/shout_data_4bbfcad3-88dc-47ea-b6dd-589581092282.wav,/final/chunk30.wav,Samsung
11,25-39,English ,English ,Man,snow meteor down the chimney,disgust,Hold your phone next to your hip with the back of phone on your palm 4/19,/media/data/shout-data/shout_data_a7abac78-1a8d-4a9d-add9-29609358f7b6.wav,/final/chunk20.wav,iPhone 
12,25-39,English ,English ,Man,snow meteor down the chimney,disgust,Hold your phone next to your hip with the back of phone on your palm 4/19,/media/data/shout-data/shout_data_a7abac78-1a8d-4a9d-add9-29609358f7b6.wav,/final/chunk21.wav,iPhone 
13,40-60,English,spanish,Woman,heavy undersea birthday pumpkins,anger,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_93e5ae89-12e6-474e-87f0-65146547be19.wav,/final/chunk11.wav,iOS
14,40-60,English,spanish,Woman,heavy undersea birthday pumpkins,anger,Hold your phone next to your face but with the mic/phone facing away from your face 2/19,/media/data/shout-data/shout_data_93e5ae89-12e6-474e-87f0-65146547be19.wav,/final/chunk22.wav,iOS
15,25-39,English,English,Woman,snow meteor down the chimney,joy,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,/final/chunk01.wav,Samsung
16,25-39,English,English,Woman,snow meteor down the chimney,joy,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,/final/chunk21.wav,Samsung
17,25-39,English,English,Woman,snow meteor down the chimney,joy,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_fae60f89-5144-41b3-9173-6d943cb2738d.wav,/final/chunk31.wav,Samsung
18,25-39,English,Hindi,Woman,snow meteor down the chimney,fear,Place phone as far away as possible while on on the opposite side of a wall from you face up on any surface 16/19,/media/data/shout-data/shout_data_f3171dc7-9647-4f29-8aae-1b781ae13666.wav,/final/chunk10.wav,iPhone XR
19,18-24,English,Portuguese ,Woman,snow meteor down the chimney,neutral,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_dbfb7949-833e-4bd6-a8ee-400e671b2eea.wav,/final/chunk01.wav,Galaxy S10
20,18-24,English,Portuguese ,Woman,snow meteor down the chimney,neutral,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_dbfb7949-833e-4bd6-a8ee-400e671b2eea.wav,/final/chunk21.wav,Galaxy S10
21,18-24,English,Portuguese ,Woman,snow meteor down the chimney,neutral,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_dbfb7949-833e-4bd6-a8ee-400e671b2eea.wav,/final/chunk32.wav,Galaxy S10
22,25-39,English ,French,Woman,another dog secretary show,disgust,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_97dce564-6797-4270-8118-75e23ed4290a.wav,/final/chunk00.wav,Samsung
23,25-39,English ,French,Woman,another dog secretary show,disgust,Place phone 1-2 meters away face down on a hard surface 9/19,/media/data/shout-data/shout_data_97dce564-6797-4270-8118-75e23ed4290a.wav,/final/chunk40.wav,Samsung
24,25-39,English,English,Man,five special guest treasures,surprise,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_182acf98-9ee6-43ac-8200-1ba71b05ab13.wav,/final/chunk01.wav,iPhone
25,25-39,English,English,Man,five special guest treasures,surprise,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_182acf98-9ee6-43ac-8200-1ba71b05ab13.wav,/final/chunk10.wav,iPhone
26,25-39,English,English,Man,five special guest treasures,surprise,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_182acf98-9ee6-43ac-8200-1ba71b05ab13.wav,/final/chunk41.wav,iPhone
27,25-39,English,English ,Woman,snow meteor down the chimney,fear,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_651c17bb-fc2e-4166-8f95-14bf2bd45c81.wav,/final/chunk11.wav,iPhone SE 2020
28,25-39,English,English ,Woman,snow meteor down the chimney,fear,Place phone as far away as possible while on on the opposite side of a wall from you in a bag 19/19,/media/data/shout-data/shout_data_651c17bb-fc2e-4166-8f95-14bf2bd45c81.wav,/final/chunk21.wav,iPhone SE 2020
30,25-39,English ,English ,Man,hungry action hippos fruit,fear,Place phone 1-2 meters away face up on any surface 8/19,/media/data/shout-data/shout_data_bd9ea39c-66ec-478e-be55-7e7886e1b744.wav,/final/chunk12.wav,iPhone 
32,25-39,English,English,Woman,wolf ring lights are fantastic,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_10ebbf6b-c075-4c68-9114-aec6a0d27fb9.wav,/final/chunk21.wav,iPhone 12
33,25-39,English,English,Woman,wolf ring lights are fantastic,neutral,Hold your phone next to your face with the mic facing your mouth as you would in a phone conversation 1/19,/media/data/shout-data/shout_data_10ebbf6b-c075-4c68-9114-aec6a0d27fb9.wav,/final/chunk31.wav,iPhone 12
34,40-60,english,english,Woman,birds make new jingles,surprise,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_28492b1e-a9ff-42fc-801f-75a79fde2051.wav,/final/chunk10.wav,iphone 11
35,40-60,english,english,Woman,birds make new jingles,surprise,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_28492b1e-a9ff-42fc-801f-75a79fde2051.wav,/final/chunk11.wav,iphone 11
